"Transaction_ID","Date_of_Purchase","Time_of_Purchase","Purchase_Type","Payment_Method","Railcard","Ticket_Class","Ticket_Type","Price","Departure_Station","Arrival_Destination","Date_of_Journey","Departure_Time","Arrival_Time","Actual_Arrival_Time","Journey_Status","Reason_for_Delay","Refund_Request"
"00004864-a97f-4926-a395","2024-01-08","19:21:24","Station","Debit Card","Adult","First Class","Advance","18","London Paddington","Reading","2024-01-09","17:45:00","18:45:00","18:45:00","On Time","None","No"
"000bcce7-2a7a-42ce-b325","2024-02-07","18:51:55","Online","Credit Card","Adult","Standard","Advance","23","London Kings Cross","York","2024-02-11","17:15:00","19:05:00","19:05:00","On Time","None","No"
"000e7952-4eff-4515-8964","2024-02-03","10:20:06","Online","Credit Card","Adult","Standard","Advance","2","Manchester Piccadilly","Liverpool Lime Street","2024-02-04","08:45:00","09:15:00","09:15:00","On Time","None","No"
"0010612c-cb42-4d0c-b1bd","2024-01-08","16:01:50","Station","Credit Card","None","Standard","Anytime","5","Manchester Piccadilly","Liverpool Lime Street","2024-01-08","17:45:00","18:15:00","19:05:00","Delayed","Signal Failure","No"
"001991b6-d21f-4fa8-9dee","2024-02-05","08:24:35","Online","Credit Card","None","Standard","Advance","13","London Paddington","Reading","2024-02-28","07:45:00","08:45:00","08:45:00","On Time","None","No"
"001c515f-189d-47e9-af98","2024-01-14","06:05:32","Online","Credit Card","None","Standard","Off-Peak","50","York","Peterborough","2024-01-14","07:30:00","08:40:00","no infor","Cancelled","Staff Shortage","No"
"00214fd9-b93b-438a-bbe2","2024-01-24","15:49:23","Online","Contactless","None","Standard","Advance","8","London St Pancras","Birmingham New Street","2024-01-25","14:15:00","15:35:00","15:35:00","On Time","None","No"
"00270144-760b-4bc3-a5f9","2024-01-03","09:44:48","Station","Credit Card","Adult","Standard","Off-Peak","15","Manchester Piccadilly","York","2024-01-03","11:00:00","12:30:00","12:30:00","On Time","None","No"
"0028ca41-4846-4375-9539","2024-02-09","21:58:09","Station","Credit Card","None","Standard","Advance","3","Manchester Piccadilly","Liverpool Lime Street","2024-02-10","20:15:00","20:45:00","20:45:00","On Time","None","No"
"002ef716-6c0e-42d4-9f4f","2024-01-17","08:00:52","Online","Debit Card","None","Standard","Advance","72","London Euston","Manchester Piccadilly","2024-01-18","06:30:00","08:20:00","08:20:00","On Time","None","No"
"002ff3ba-9763-46ee-80be","2024-02-05","10:34:45","Online","Credit Card","Adult","Standard","Advance","2","Liverpool Lime Street","Manchester Piccadilly","2024-02-13","09:00:00","09:30:00","09:30:00","On Time","None","No"
"003001b0-a042-4ac8-92e6","2024-02-13","03:12:02","Online","Contactless","Disabled","Standard","Advance","2","Liverpool Lime Street","Manchester Piccadilly","2024-02-14","01:30:00","02:00:00","02:00:00","On Time","None","No"
"00331a0c-c32d-4747-adf5","2024-01-21","09:27:02","Online","Contactless","None","Standard","Off-Peak","4","Manchester Piccadilly","Liverpool Lime Street","2024-01-21","10:45:00","11:15:00","11:15:00","On Time","None","No"
"003bec4c-5614-4959-972e","2024-02-14","12:37:08","Online","Contactless","None","Standard","Advance","4","Manchester Piccadilly","Sheffield","2024-02-19","11:00:00","11:45:00","11:45:00","On Time","None","No"
"003c7548-c7c6-4349-a026","2024-01-07","17:18:03","Online","Credit Card","None","Standard","Off-Peak","12","London St Pancras","Birmingham New Street","2024-01-07","18:45:00","20:05:00","20:05:00","On Time","None","No"
"003e012b-4bbc-40a4-8c11","2024-02-02","17:03:07","Online","Contactless","None","Standard","Advance","13","London Paddington","Reading","2024-02-16","15:30:00","16:30:00","16:30:00","On Time","None","No"
"0049a301-57d8-4827-95cd","2024-01-27","02:42:05","Online","Contactless","None","Standard","Off-Peak","53","London Kings Cross","York","2024-01-27","04:00:00","05:50:00","05:50:00","On Time","None","No"
"004c2bc9-2663-47e9-bcd2","2024-01-06","20:59:57","Station","Credit Card","Adult","Standard","Off-Peak","13","London Paddington","Reading","2024-01-06","22:15:00","23:15:00","23:15:00","On Time","None","No"
"0050d308-d7fa-4320-b849","2024-02-04","06:14:31","Online","Credit Card","None","Standard","Off-Peak","5","London Paddington","London Waterloo","2024-02-04","07:30:00","09:00:00","09:00:00","On Time","None","No"
"00583837-b48d-41a0-8ecb","2024-01-18","11:28:46","Online","Contactless","None","Standard","Advance","7","London Euston","Birmingham New Street","2024-01-19","09:45:00","11:05:00","11:05:00","On Time","None","No"
"0058858e-335c-416f-9f6f","2024-01-24","14:33:10","Station","Credit Card","Adult","Standard","Anytime","9","London Euston","Birmingham New Street","2024-01-24","16:00:00","17:20:00","17:20:00","On Time","None","No"
"005a56f1-6e00-4052-b45a","2024-01-06","18:17:21","Online","Credit Card","Senior","Standard","Off-Peak","2","Manchester Piccadilly","Liverpool Lime Street","2024-01-06","18:45:00","19:15:00","19:15:00","On Time","None","No"
"005efd3f-c571-4314-906a","2024-02-14","01:40:38","Online","Contactless","Adult","Standard","Advance","2","Manchester Piccadilly","Liverpool Lime Street","2024-02-18","00:00:00","00:30:00","00:30:00","On Time","None","No"
